course_code,course title,description,prerequisites,corequisites,category,components,theme,level,credits,term,calendar_url
BIOL 111,Introduction to Modern Biology,"Concepts fundamental to biological issues, such as the genetic basis of biological variation, evolution, infectious diseases, causes of cancer, population growth, and human effects on ecosystems.  Not open to students who have credit for Biology 12 (including AP, IB). [3-0-0]",,,Pre-Introductory,Lecture,Physiology; Human,1,3,Term 2,
BIOL 112,Biology of the Cell,"The principles of cellular and molecular biology using bacterial and eukaryotic examples. [3-0-0] Prerequisite: One of CHEM 12, CHEM 100, CHEM 110, CHEM 111 and one of BIOL 11, BIOL 12, BIOL 111.",BIOL 111,,Introductory,Lecture,Genomics; History,1,3,Term 2,
BIOL 121,"Genetics, Evolution and Ecology","Principles of storage and transmission of genetic variation; origin and evolution of species and their ecological interactions. Credit will be granted for only one of BIOL 121 or BIOL 344. [3-0-0] Prerequisite: One of BIOL 11, BIOL 12, BIOL 111.",BIOL 111,,Introductory,Lecture,Evolution; Genetics,1,3,Term 2,
BIOL 180,Thinking Like a Life Scientist,"Science as a process, the skills of scientists, and the exploration of a current biological challenge with a practicing UBC scientist. [2-0-1] Prerequisite: One of BIOL 11, BIOL 12, BIOL 111.",BIOL 111,,Introductory,Lecture,Ecology; Evolution,1,2,Term 2,
BIOL 200,Fundamentals of Cell Biology,"Structure and function of plant and animal cells; membrane models, cytoplasmic organelles, biological information from gene to protein, the endomembrane system, secretion, intracellular digestion, endocytosis, transport processes, cytoskeleton and cell motility. [3-0-1] Prerequisite: Either (a) BIOL 112 and one of CHEM 123, CHEM 130;  or (b) SCIE 001. or (c) 8 transfer credits of first-year BIOL and 6 credits of first-year CHEM or (d) one of BIOL 112 or BIOL 121 and a corequisite of one of CHEM 203 or CHEM 223.",BIOL 112,,Fundamentals,Lecture; Tutorials,Ecology; Evolution,2,3,Term 2,
BIOL 201,Introduction to Biochemistry,"Biological molecules, protein structure and enzyme action, energy transfer, central metabolic pathways and their regulation. Examples drawn from plants, animals and microorganisms. (Consult the Credit Exclusion list within the Faculty of Science section of the Calendar.) Credit will be granted for only one of BIOL 201, BIOC 202, or BIOC 203. [3-0-1] Prerequisite: BIOL 200 and one of CHEM 233, CHEM 260. ; or BIOL 200 and a corequisite of CHEM 213; or a corequisite of either CHEM 313 or CHEM 330.",BIOL 200,,,Lecture,Ecology; Microbial,2,3,Term 2,
BIOL 204,Vertebrate Structure and Function,"Introduction to the vertebrate phyla and their evolution; a comparative study of vertebrate structure and function, with dissection of representative forms. [3-3-0] Prerequisite: One of BIOL 121, SCIE 001. Or 8 transfer credits of first-year biology.",BIOL 121,,Organismal,Lecture,Behaviour; Methods,2,4,Term 2,
BIOL 210,Vascular Plants,"A comparative study of pteridophytes, gymnosperms and angiosperms, integrating form, function and ecology. [3-3-0] Prerequisite: One of BIOL 121, SCIE 001. or  8 transfer credits of first-year biology. Equivalency: APBI 210",BIOL 121,,Organismal,Lecture; Labs,Ecology; Evolution,2,4,Term 2,
BIOL 230,Fundamentals of Ecology,"Dynamics of plant and animal populations, structure of ecological communities and functioning of ecosystems. Interpretation of research results and application to environmental issues. Labs meet once a month. Please consult the Faculty of Science Credit Exclusion Lists: https://vancouver.calendar.ubc.ca/faculties-colleges-and-schools/faculty-science/bachelor-science/credit-exclusion-lists. [3-3*-0] Prerequisite: One of BIOL 121, SCIE 001 or 8 transfer credits of first-year BIOL.",BIOL 121,,Fundamentals,Lecture; Labs,Physiology; Research,2,3,Term 2,
BIOL 234,Fundamentals of Genetics,"Genotype and phenotype, mechanisms of inheritance, genetic analysis. Please consult the Faculty of Science Credit Exclusion Lists: https://vancouver.calendar.ubc.ca/faculties-colleges-and-schools/faculty-science/bachelor-science/credit-exclusion-lists. [3-0-2] Prerequisite: Either (a) all of BIOL 112, BIOL 121 or (b) SCIE 001 ; (c) a corequisite of one of CHEM 203 or CHEM 223 and one of BIOL 112 or BIOL 121; or (d) 8 transfer credits of first-year BIOL.",BIOL 112; BIOL 121; BIOL 112; BIOL 121,,Fundamentals,Lecture; Tutorials,Analysis; Ecology,2,3,Term 2,
BIOL 260,Fundamentals of Physiology,"Principles of cellular and organismal physiology illustrated with examples from unicellular organisms, plants and animals, focusing on transport processes, water balance, nutrient acquisition and communication. [3-0-0] Prerequisite: Either (a) all of BIOL 112, BIOL 121 or (b) SCIE 001. or (c) 8 transfer credits of 1st year BIOL and 6 credits of 1st year chemistry.",BIOL 112; BIOL 121,,Fundamentals,Lecture,Physiology; Research,2,3,Term 2,
BIOL 300,Fundamentals of Biostatistics,"Statistical procedures for biological research; estimation, hypothesis testing, goodness of fit, analysis of variance and regression; use of computers for statistical analysis. Please consult the Faculty of Science Credit Exclusion Lists: https://vancouver.calendar.ubc.ca/faculties-colleges-and-schools/faculty-science/bachelor-science/credit-exclusion-lists [3-2-0] Prerequisite: One of BIOL_V 121, SCIE_V 001. Corequisite: One of MATH_V 100, MATH_V 110, MATH_V 180, SCIE_V 001.",,,Fundamentals,Lecture; Labs,Evolution; Genetics,3,3,Term 2,
